year,month,country_chart,artist,track,rank,streams,spotify_link
2017,01,Global,"Cheat Codes, Kris Kross Amsterdam",Sex,183.0,3352567,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP
2017,01,Global,James Bay,Let It Go,157.0,3324704,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
2017,01,Global,James Hersey,Miss You,145.0,3310603,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje
2017,01,Global,"Mura Masa, A$AP Rocky",Love$ick,169.0,3277225,https://open.spotify.com/track/5v9N8Rx3QsFvr50cxyQcA3
2017,01,Global,Shawn Mendes,Stitches,171.0,3260382,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
2017,01,Global,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",161.0,3254692,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
2017,01,Global,La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack",190.0,3247944,https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
2017,01,Global,Zara Larsson,Lush Life,190.0,3247014,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
2017,01,Global,The Weeknd,Reminder,198.0,3193717,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
2017,01,Global,ZAYN,PILLOWTALK,173.0,3179629,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
2017,01,Global,"Don Omar, Zion & Lennox",Te Quiero Pa´Mi,195.0,3178042,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
2017,01,Global,Farruko,Chillax (feat. Ky-Mani Marley),197.0,3165041,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
2017,01,Global,Maluma,Borro Cassette,173.0,3162391,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
2017,01,Global,Zara Larsson,Ain't My Fault,195.0,3154692,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ
2017,01,Global,Ed Sheeran,Don't,156.0,3141244,https://open.spotify.com/track/6gTJaPuj8DT8RjuDJyBgzP
2017,01,Global,Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",178.0,3113446,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR
2017,01,Global,The Weeknd,The Hills,181.0,3090235,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
2017,01,Global,John Mayer,Love on the Weekend,164.0,3079976,https://open.spotify.com/track/0oiCeOPwm4zhwfyIpAE37y
2017,01,Global,Ed Sheeran,Tenerife Sea,160.0,3079378,https://open.spotify.com/track/6vSwxzO2Qf4BinHSXRwZJe
2017,01,Global,Justin Bieber,What Do You Mean?,187.0,3075414,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
